                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3947,                 3.9659,                 1.9115,                0.21378,                0.12217,                0.09821,                0.04021,                 2.1117,                 3.8255,                 1.8812,                 0.0955,                 0.0005,                 0.0005
                      1,                 2.4212,                 3.6665,                 1.8191,                0.24079,                0.20432,                0.18829,                0.07733,                 1.9513,                 2.8683,                 1.7272,               0.090089,              0.0010891,              0.0010891
                      2,                 2.0971,                 2.6489,                 1.5798,                0.42555,                0.30448,                0.29936,                  0.139,                  1.765,                 2.2697,                  1.559,               0.084666,              0.0016663,              0.0016663
                      3,                 1.9037,                 2.1472,                 1.4765,                0.37561,                0.44733,                0.37452,                0.18579,                 1.5687,                 1.9189,                 1.4233,               0.079232,              0.0022317,              0.0022317
                      4,                 1.5694,                 1.6399,                 1.2818,                0.42762,                0.40522,                0.35093,                0.19312,                 1.4449,                 2.2778,                 1.3455,               0.073785,              0.0027852,              0.0027852
                      5,                  1.608,                 1.5833,                 1.2631,                0.57636,                0.56085,                0.53783,                 0.3126,                 1.3428,                 1.6047,                 1.2708,               0.068327,              0.0033267,              0.0033267
                      6,                 1.4041,                 1.5001,                 1.2133,                0.52491,                0.55677,                0.52699,                0.31679,                 1.2914,                  1.394,                 1.2403,               0.062856,              0.0038565,              0.0038565
                      7,                 1.4451,                 1.3367,                  1.214,                0.60727,                0.58505,                0.53505,                0.33685,                 1.2413,                 1.2426,                 1.2179,               0.057374,              0.0043743,              0.0043743
                      8,                 1.4396,                 1.3252,                 1.1687,                0.40429,                0.41225,                 0.3526,                0.21453,                 1.3411,                 1.4504,                 1.3059,                0.05188,              0.0048802,              0.0048802
                      9,                 1.3419,                 1.2653,                 1.1643,                0.50752,                0.45829,                0.37469,                0.22573,                 1.4049,                 1.6352,                 1.3404,               0.046374,              0.0053743,              0.0053743
                     10,                 1.2793,                 1.2192,                 1.1731,                 0.6397,                0.53234,                0.53973,                0.34701,                 1.2989,                 1.2755,                 1.2389,               0.040857,              0.0058565,              0.0058565
                     11,                 1.3683,                 1.1502,                 1.1287,                0.63971,                0.57795,                 0.5242,                0.33856,                  1.153,                 1.2505,                 1.1436,               0.035327,              0.0063268,              0.0063268
