                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4527,                 4.1345,                  1.868,                 0.2655,                0.06313,                0.08839,                0.03372,                 2.2403,                 4.1388,                  1.832,                 0.0955,                 0.0005,                 0.0005
                      1,                 2.4982,                 3.9032,                 1.8365,                0.27255,                0.15437,                0.15496,                0.05996,                 2.0076,                 3.2515,                 1.7299,               0.090089,              0.0010891,              0.0010891
                      2,                 2.2085,                 2.7815,                 1.6053,                0.35652,                0.27699,                 0.2313,                0.10278,                 1.8189,                 2.4804,                 1.5976,               0.084666,              0.0016663,              0.0016663
                      3,                 2.0051,                 2.1815,                 1.5005,                0.35276,                0.34806,                0.28656,                0.14317,                 1.6556,                 2.0528,                 1.4851,               0.079232,              0.0022317,              0.0022317
                      4,                 1.6654,                 1.6926,                 1.2903,                0.43826,                0.29657,                0.30126,                0.15806,                 1.5428,                 3.1352,                 1.4167,               0.073785,              0.0027852,              0.0027852
                      5,                 1.6494,                 1.6208,                 1.2532,                0.52731,                0.38946,                0.39112,                0.22244,                 1.4948,                 2.2629,                  1.365,               0.068327,              0.0033267,              0.0033267
                      6,                 1.4717,                 1.5412,                 1.2406,                0.55598,                0.44424,                 0.4721,                0.29104,                 1.2977,                 1.3619,                 1.2107,               0.062856,              0.0038565,              0.0038565
                      7,                  1.495,                 1.3228,                 1.1991,                0.64016,                 0.5539,                0.55983,                 0.3565,                 1.1865,                 1.3795,                  1.141,               0.057374,              0.0043743,              0.0043743
                      8,                  1.485,                 1.3358,                 1.1717,                0.61376,                0.57972,                0.56003,                0.35292,                  1.203,                 1.1517,                 1.1363,                0.05188,              0.0048802,              0.0048802
                      9,                  1.421,                 1.2597,                  1.151,                0.64699,                0.62345,                0.58801,                0.36924,                 1.1739,                 1.1003,                 1.1172,               0.046374,              0.0053743,              0.0053743
                     10,                 1.3115,                 1.2222,                 1.1561,                0.66742,                0.57328,                0.59516,                0.37769,                 1.1566,                 1.0566,                 1.1047,               0.040857,              0.0058565,              0.0058565
                     11,                 1.3913,                 1.1889,                 1.1062,                0.66267,                0.59034,                0.56525,                0.37443,                 1.0789,                 1.0028,                 1.0617,               0.035327,              0.0063268,              0.0063268
                     12,                 1.3841,                   1.17,                 1.0775,                0.64367,                0.58396,                0.58354,                0.38598,                 1.1027,                 1.0034,                 1.0607,               0.029785,              0.0067852,              0.0067852
                     13,                 1.3875,                 1.1864,                 1.1031,                0.67801,                0.65461,                0.65588,                0.40427,                 1.1726,                0.97274,                  1.094,               0.024232,              0.0072318,              0.0072318
                     14,                 1.3769,                 1.2401,                  1.102,                0.71071,                 0.5338,                0.61933,                0.41094,                 1.1408,                 1.0589,                 1.0941,               0.018666,              0.0076665,              0.0076665
                     15,                  1.383,                 1.1657,                 1.0885,                0.68798,                0.65455,                0.67411,                0.44044,                 1.0405,                0.89251,                 1.0351,               0.013089,              0.0080892,              0.0080892
                     16,                 1.3054,                 1.1761,                 1.0773,                0.72543,                0.62081,                0.66543,                0.44519,                 1.0447,                0.90853,                 1.0332,               0.008416,               0.008416,               0.008416
                     17,                 1.3594,                 1.1656,                 1.0584,                0.48005,                0.50537,                0.46731,                0.32407,                 1.0632,                 1.1288,                 1.0521,               0.008416,               0.008416,               0.008416
                     18,                 1.2953,                 1.0942,                 1.0801,                0.78485,                0.61543,                0.66558,                0.44565,                 1.0455,                0.93526,                 1.0293,               0.008317,               0.008317,               0.008317
                     19,                 1.3204,                 1.0395,                  1.051,                0.71003,                0.66233,                0.65043,                0.43561,                 1.0287,                0.91593,                 1.0112,               0.008218,               0.008218,               0.008218
                     20,                 1.2699,                 1.0226,                 1.0348,                0.71265,                0.57433,                0.58553,                0.36966,                 1.1615,                 1.1128,                 1.0987,               0.008119,               0.008119,               0.008119
                     21,                 1.2579,                0.96827,                 1.0368,                0.73209,                0.61216,                0.60893,                0.39456,                 1.1165,                0.92018,                 1.0601,                0.00802,                0.00802,                0.00802
                     22,                 1.2151,                0.90965,                 1.0272,                0.72704,                0.63393,                 0.6258,                0.39539,                 1.1372,                  1.017,                 1.0694,               0.007921,               0.007921,               0.007921
                     23,                 1.2718,                0.99985,                 1.0568,                0.75129,                0.54573,                0.58627,                0.39148,                 1.1511,                 1.0293,                 1.1072,               0.007822,               0.007822,               0.007822
                     24,                 1.2415,                 1.0231,                 1.0418,                0.69919,                0.58428,                0.62134,                0.40691,                 1.1441,                0.90793,                 1.0698,               0.007723,               0.007723,               0.007723
                     25,                 1.2283,                0.97026,                 1.0264,                0.78255,                0.65448,                0.71599,                0.46343,                 1.0243,                0.84962,                 1.0087,               0.007624,               0.007624,               0.007624
                     26,                 1.3248,                 1.0202,                 1.0476,                0.69348,                0.62979,                0.64849,                0.41173,                 1.1427,                 1.0278,                 1.0837,               0.007525,               0.007525,               0.007525
                     27,                 1.2731,                0.95069,                 1.0254,                0.76866,                 0.6396,                0.69862,                0.47487,                0.98639,                0.79241,                 0.9981,               0.007426,               0.007426,               0.007426
                     28,                 1.1919,                0.89415,                 1.0166,                0.75294,                0.67526,                0.70438,                0.47078,                 1.0088,                0.89567,                 1.0041,               0.007327,               0.007327,               0.007327
                     29,                 1.1658,                0.90919,                  1.038,                0.69153,                0.65434,                0.68494,                0.47955,                0.96419,                0.85703,                0.98965,               0.007228,               0.007228,               0.007228
                     30,                  1.216,                0.89111,                 1.0256,                 0.7796,                0.59703,                0.63186,                0.43926,                 1.0192,                 0.8279,                 1.0086,               0.007129,               0.007129,               0.007129
                     31,                 1.1699,                0.92918,                 1.0149,                0.72877,                0.62077,                0.67625,                0.48462,                0.95584,                0.80046,                0.99075,                0.00703,                0.00703,                0.00703
                     32,                 1.1961,                0.82706,                0.99898,                0.75711,                0.61667,                0.68164,                0.47095,                0.96315,                0.78996,                0.99325,               0.006931,               0.006931,               0.006931
                     33,                 1.1362,                0.83076,                0.99755,                0.80543,                0.63532,                0.71497,                0.49995,                0.96125,                0.74289,                0.97961,               0.006832,               0.006832,               0.006832
                     34,                 1.1017,                0.83278,                 1.0099,                 0.7552,                0.70917,                0.74269,                0.51134,                0.93639,                0.72385,                0.97839,               0.006733,               0.006733,               0.006733
                     35,                 1.1014,                0.85057,                0.99713,                0.69235,                0.62085,                0.66673,                0.45912,                 1.0434,                0.91598,                 1.0579,               0.006634,               0.006634,               0.006634
                     36,                 1.0755,                0.74292,                0.95399,                0.71331,                0.68947,                0.71777,                0.48491,                0.99885,                0.79971,                 1.0122,               0.006535,               0.006535,               0.006535
                     37,                 1.1049,                0.79517,                0.98022,                0.72486,                0.66518,                 0.7033,                0.47875,                 0.9981,                  0.822,                 1.0122,               0.006436,               0.006436,               0.006436
                     38,                 1.1562,                0.78147,                0.98175,                0.72003,                0.63425,                0.67412,                0.46797,                 1.0653,                0.97888,                 1.0528,               0.006337,               0.006337,               0.006337
